"id","x","y"
"212",4,4.5
"213",5,4.5
"214",6,4.5
"215",7,4.5
"216",8,4.5
"217",9,4.5
"218",10,4.5
"219",11,4.5
"220",12,4.5
"221",13,4.5
"222",14,4.5
"223",15,4.5
"224",16,4.5
"225",17,4.5
"226",18,4.5
"227",19,4.5
"228",20,4.5
"229",21,4.5
"230",22,4.5
"231",23,4.5
"232",24,4.5
"233",25,4.5
"234",26,4.5
"235",1,5
"236",2,5
"237",3,5
"238",4,5
"239",5,5
"240",6,5
"241",7,5
"242",8,5
"243",9,5
"244",10,5
"245",11,5
"246",12,5
"247",13,5
"248",14,5
"249",15,5
"250",16,5
"251",17,5
"252",18,5
"253",19,5
"254",20,5
"255",21,5
"256",22,5
"257",23,5
"258",24,5
"259",25,5
"260",26,5
"261",1,5.5
"262",2,5.5
"263",3,5.5
"264",4,5.5
"265",5,5.5
"266",6,5.5
"267",7,5.5
"268",8,5.5
"269",9,5.5
"270",10,5.5
"271",11,5.5
"272",12,5.5
"273",13,5.5
"274",14,5.5
"275",15,5.5
"276",16,5.5
"277",17,5.5
"278",18,5.5
"279",19,5.5
"280",20,5.5
"281",21,5.5
"282",22,5.5
"283",23,5.5
"284",24,5.5
"285",25,5.5
"286",26,5.5
"287",1,6
"288",2,6
"289",3,6
"290",4,6
"291",5,6
"292",6,6
"293",7,6
"294",8,6
"295",9,6
"296",10,6
"297",11,6
"298",12,6
"299",13,6
"300",14,6
"301",15,6
"302",16,6
"303",17,6
"304",18,6
"305",19,6
"306",20,6
"307",21,6
"308",22,6
"309",23,6
"310",24,6
"311",25,6
"312",26,6
"313",1,6.5
"314",2,6.5
"315",3,6.5
"316",4,6.5
"317",5,6.5
"318",6,6.5
"319",7,6.5
"320",8,6.5
"321",9,6.5
"322",10,6.5
"323",11,6.5
"324",12,6.5
"325",13,6.5
"326",14,6.5
"327",15,6.5
"328",16,6.5
"329",17,6.5
"330",18,6.5
"331",19,6.5
"332",20,6.5
"333",21,6.5
"334",22,6.5
"335",23,6.5
"336",24,6.5
"337",25,6.5
"338",26,6.5
"339",1,7
"340",2,7
"341",3,7
"342",4,7
"343",5,7
"344",6,7
"345",7,7
"346",8,7
"347",9,7
"348",10,7
"349",11,7
"350",12,7
"351",13,7
"352",14,7
"353",15,7
"354",16,7
"355",17,7
"356",18,7
"357",19,7
"358",20,7
"359",21,7
"360",22,7
"361",23,7
"362",24,7
"363",25,7
"364",26,7
"365",1,7.5
"366",2,7.5
"367",3,7.5
"368",4,7.5
"369",5,7.5
"370",6,7.5
"371",7,7.5
"372",8,7.5
"373",9,7.5
"374",10,7.5
"375",11,7.5
"376",12,7.5
"377",13,7.5
"378",14,7.5
"379",15,7.5
"380",16,7.5
"381",17,7.5
"382",18,7.5
"383",19,7.5
"384",20,7.5
"385",21,7.5
"386",22,7.5
"387",23,7.5
"388",24,7.5
"389",25,7.5
"390",26,7.5
"391",1,8
"392",2,8
"393",3,8
"394",4,8
"395",5,8
"396",6,8
"397",7,8
"398",8,8
"399",9,8
"400",10,8
"401",11,8
"402",12,8
"403",13,8
"404",14,8
"405",15,8
"406",16,8
"407",17,8
"408",18,8
"409",19,8
"410",20,8
"411",21,8
"412",22,8
"413",23,8
"414",24,8
"415",25,8
"416",26,8
"417",1,8.5
"418",2,8.5
"419",3,8.5
"420",4,8.5
"421",5,8.5
"422",6,8.5
"423",7,8.5
"424",8,8.5
"425",9,8.5
"426",10,8.5
"427",11,8.5
"428",12,8.5
"429",13,8.5
"430",14,8.5
"431",15,8.5
"432",16,8.5
"433",17,8.5
"434",18,8.5
"435",19,8.5
"436",20,8.5
"437",21,8.5
"438",22,8.5
"439",23,8.5
"440",24,8.5
"441",25,8.5
"442",26,8.5
"443",1,9
"444",2,9
"445",3,9
"446",4,9
"447",5,9
"448",6,9
"449",7,9
"450",8,9
"451",9,9
"452",10,9
"453",11,9
"454",12,9
"455",13,9
"456",14,9
"457",15,9
"458",16,9
"459",17,9
"460",18,9
"461",19,9
"462",20,9
"463",21,9
"464",22,9
"465",23,9
"466",24,9
"467",25,9
"468",26,9
"469",1,9.5
"470",2,9.5
"471",3,9.5
"472",4,9.5
"473",5,9.5
"474",6,9.5
"475",7,9.5
"476",8,9.5
"477",9,9.5
"478",10,9.5
"479",11,9.5
"480",12,9.5
"481",13,9.5
"482",14,9.5
"483",15,9.5
"484",16,9.5
"485",17,9.5
"486",18,9.5
"487",19,9.5
"488",20,9.5
"489",21,9.5
"490",22,9.5
"491",23,9.5
"492",24,9.5
"493",25,9.5
"494",26,9.5
"495",1,10
"496",2,10
"497",3,10
"498",4,10
"499",5,10
"500",6,10
"501",7,10
"502",8,10
"503",9,10
"504",10,10
"505",11,10
"506",12,10
"507",13,10
"508",14,10
"509",15,10
"510",16,10
"511",17,10
"512",18,10
"513",19,10
"514",20,10
"515",21,10
"516",22,10
"517",23,10
"518",24,10
"519",25,10
"520",26,10
